Latitude,Longitude
-33.283334,-70.266668
-33.283334,-70.266668
46.553731,-66.071245
52.762395,1.575532
52.413173,1.097873
28.216667,-16.633333
68.35,18.5
74.5,-20.5
-20.348404,57.552152
28.127842,-17.248908
-29.616667,30.133333
81.816667,-71.3
51.574994,-2.589902
56.238737,9.973652
-36.45,148.266667
81.816667,-71.3
-34.166667,-69.7
-33,-69.283333
75,-114.966667
36.075391,-79.001843
-42.95,171.566667
8.933333,-67.416667
5.583333,-61.716667
40.133333,-88.166667
45.4,-75.5
17.916667,-76.191667
39.466667,-31.227222
56.248737,9.973652
56.238737,9.993652
28.268611,-16.605556
18.353889,-77.645278
15.518889,-61.467222
-0.949194,-90.977222
56.238737,9.953652
71,-52
56.066667,10.233333
28.268611,-16.605556
-41.077069,-71.525206
66.966667,-50.55
42.2973,3.235217
-8.505,-37.201389
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-4.666667,55.43333
-23.341667,-45.116667
-20.75,-42.92
19.5,-105.05
-22.5,-44.83
-7.87,-36.4
1.25,-77.43
-27.27,-49.01
-27.26,-49.02
-27.26,-49.02
19.23,-98.97
0.04,-72.27
-37.84201,-58.358571
-37.739033,-58.231541
-37.757206,-58.248473
-37.88535,-57.841954
-37.738482,-58.433468
-37.873479,-58.260686
-37.872875,-57.992252
-37.875464,-58.379999
-37.753358,-58.284845
-37.732235,-58.311789
-37.872675,-58.030991
-37.850782,-58.065689
38.9695547,-77.1763687
-0.0238471,-78.7729935
0.12,-78.6
4.67,-75.57
10.67,-61.28
0.12,-78.63
-3.82,-70.27
-23.58,-45.33
-23.35,-44.83
-18.2,-43.57
-24.18,-47.93
-21.62,-47.81
-9.71,-76.16
-23.36,-44.85
15.63,-92.81
15.66,-92.81
4.5,-75.6
-19.25,-43.52
-23.32,-44.94
-23.35,-44.83
10.67,-61.28
-22.5,-44.8333
-0.02,-78.77
-22.73,-45.58
-23.32,-44.94
-25.315,-48.6959
-19.25,-43.52
-17.7778,-48.6794
-27.25,-49
-12.98,-41.33
-18.1967,-43.5691
0.0667,-72.45
-24.18,-47.9329
-23.36,-44.85
-3.82,-70.27
-27.25,-49
-23.283,-45.05
-23.17,-44.92
-23.58,-45.33
-24.555,-47.227
10.4375,-84.0116
-13.8119,-39.2039
-31.8,-52.42
-23.63,-45.85
-27.25,-49
-4.1138,-79.1748
-19.95,-43.9
20.524,-100.352
-7.8748,-36.403
-13.12,-41.58
-21.6156,-47.8147
-18.9892,-48.302
-19.1556,-48.3889
-20.509,-54.6167
-12.8542,-69.367
2.5167,-76.9833
-11.48,-41.32
15.5912,-92.8465
15.628,-92.8063
15.6557,-92.8061
-13.22,-72.12
-2.8332,-79.1332
-2.9617,-79.1041
-2.8667,-79.1167
1.25,-77.43
-20.4428,-54.6464
-9.709,-76.1609
-4.1147,-78.9669
-23.33,-44.83
10.2703,-84.084
2.6667,-76.95
4.67,-75.57
-16.9598,-65.4073
4.5,-75.6
0.1179,-78.5986
10.1762,-84.1117
19.5,-105.05
5.9,-73.42
9.48,-83.48
-3.974,-79.07
0.1191,-78.6345
19.5,-96.95
20.1318,-98.7129
20.6776,-98.7555
19.23,-98.97
-19.5167,-56.983
4.576,-75.86
5.92,-73.53
-13.12,-41.57
4.5445,-75.7703
4.53,-73.85
9.57,-83.73
20.755,-100.351
12.1,-61.683
16.7516,-92.6852
15.35,-61.3
-20.75,-42.92
20.6124,-98.7485
